cluster_id,n_children,stunting_rate,severe_rate,mean_haz,region,urban_rural,mean_wealth_q,mean_maternal_edu
129,10.0,39.99999999999999,0.0,-1.623,3.0,2.0,3.1999999999999993,2.999999999999999
130,3.0,0.0,0.0,-0.23000000000000004,5.0,1.0,4.0,3.666666666666667
131,7.0,85.71428571428571,14.285714285714285,-2.472857142857143,4.0,2.0,1.2857142857142858,5.428571428571429
132,10.0,20.0,0.0,-0.9170000000000001,2.0,2.0,2.3000000000000003,4.9
133,5.0,40.0,20.0,-1.924,5.0,2.0,1.8,3.7999999999999994
134,14.0,21.428571428571434,14.285714285714288,-1.247142857142857,5.0,1.0,2.0000000000000004,5.714285714285716
135,5.0,40.0,0.0,-1.3840000000000001,4.0,2.0,3.8,8.4
136,8.0,50.0,0.0,-1.5574999999999999,5.0,2.0,2.75,3.875
137,10.0,50.0,20.0,-2.341,2.0,2.0,2.4000000000000004,4.5
138,7.0,71.42857142857143,0.0,-2.1328571428571426,2.0,2.0,1.2857142857142856,4.571428571428571
139,10.0,20.0,0.0,-1.4149999999999998,5.0,1.0,3.4,3.3999999999999995
140,7.0,28.57142857142857,14.285714285714285,-1.5242857142857145,2.0,2.0,1.5714285714285714,5.285714285714286
141,6.0,16.666666666666668,16.666666666666668,-1.3550000000000002,4.0,2.0,3.8333333333333335,10.166666666666666
142,7.0,28.57142857142857,14.285714285714285,-1.8914285714285712,2.0,2.0,2.2857142857142856,4.857142857142857
143,3.0,0.0,0.0,-0.8766666666666667,2.0,2.0,2.0,6.000000000000001
144,11.0,63.63636363636363,9.09090909090909,-2.149090909090909,3.0,2.0,2.454545454545454,3.6363636363636362
145,8.0,12.5,0.0,-1.4275,4.0,2.0,3.5,7.375000000000001
146,7.0,0.0,0.0,-0.24714285714285708,1.0,1.0,4.428571428571429,6.999999999999999
147,7.0,42.85714285714287,28.571428571428577,-1.7400000000000004,2.0,2.0,2.571428571428571,5.714285714285714
148,10.0,20.0,0.0,-1.2870000000000001,5.0,1.0,3.3000000000000007,6.900000000000001
149,7.0,57.14285714285715,28.571428571428577,-2.2814285714285716,5.0,2.0,2.714285714285715,3.0000000000000004
150,7.0,14.285714285714285,14.285714285714285,-0.9671428571428573,2.0,2.0,1.8571428571428572,2.142857142857143
151,4.0,0.0,0.0,0.9800000000000001,1.0,1.0,5.0,13.250000000000002
152,3.0,33.333333333333336,0.0,-1.5100000000000002,2.0,2.0,2.3333333333333335,3.333333333333334
153,15.0,53.33333333333334,20.000000000000007,-2.210666666666668,4.0,2.0,3.466666666666667,5.600000000000001
154,10.0,10.0,10.0,-1.1829999999999996,2.0,2.0,2.7999999999999994,6.199999999999999
155,3.0,33.333333333333336,0.0,-1.1733333333333336,5.0,2.0,4.0,8.666666666666668
156,2.0,0.0,0.0,0.15000000000000002,4.0,1.0,5.0,10.0
157,5.0,60.0,20.0,-1.926,3.0,2.0,2.8000000000000003,6.0
158,3.0,0.0,0.0,-1.626666666666667,2.0,2.0,2.666666666666667,4.0
159,12.0,8.333333333333334,0.0,-0.9141666666666669,3.0,2.0,3.2500000000000004,5.5
160,11.0,45.45454545454547,0.0,-1.5390909090909093,3.0,2.0,3.3636363636363638,7.000000000000001
161,5.0,0.0,0.0,-0.702,5.0,2.0,2.599999999999999,6.3999999999999995
162,9.0,33.33333333333333,22.22222222222222,-1.802222222222222,5.0,2.0,2.666666666666666,4.999999999999999
163,8.0,37.5,12.5,-1.3825,5.0,2.0,2.375,3.25
164,11.0,36.36363636363637,9.090909090909092,-1.6636363636363636,3.0,2.0,3.4545454545454546,3.0
165,3.0,0.0,0.0,-1.2333333333333334,4.0,2.0,2.3333333333333335,1.6666666666666667
166,9.0,44.44444444444444,22.22222222222222,-2.056666666666667,2.0,2.0,3.444444444444444,4.222222222222222
167,11.0,36.36363636363637,9.090909090909092,-1.9363636363636367,1.0,2.0,3.3636363636363638,6.909090909090909
168,12.0,0.0,0.0,-0.5233333333333334,5.0,2.0,3.583333333333334,4.083333333333334
169,11.0,45.45454545454547,0.0,-1.636363636363637,4.0,2.0,2.0,3.5454545454545454
170,12.0,41.666666666666664,16.666666666666664,-1.9516666666666669,5.0,2.0,1.9166666666666667,4.666666666666667
171,7.0,14.285714285714285,14.285714285714285,-0.6499999999999999,5.0,2.0,3.8571428571428568,5.857142857142857
172,7.0,71.42857142857143,28.571428571428577,-2.2714285714285714,4.0,2.0,1.7142857142857144,3.5714285714285716
173,3.0,0.0,0.0,-0.51,1.0,1.0,4.666666666666667,11.666666666666668
174,12.0,58.33333333333333,33.333333333333336,-2.3216666666666668,3.0,2.0,1.5000000000000002,4.083333333333334
175,5.0,20.0,0.0,-0.632,1.0,1.0,4.6,7.8
176,9.0,0.0,0.0,-0.6666666666666666,5.0,2.0,4.111111111111111,7.999999999999998
177,9.0,11.11111111111111,0.0,-1.5588888888888888,3.0,1.0,3.333333333333333,7.777777777777777
178,3.0,0.0,0.0,-1.0233333333333332,2.0,2.0,2.9999999999999996,5.666666666666667
179,3.0,33.333333333333336,0.0,-0.9066666666666667,3.0,1.0,5.000000000000001,7.333333333333333
180,10.0,20.0,0.0,-1.199,3.0,2.0,2.5999999999999996,5.2
181,5.0,20.0,0.0,-1.6459999999999997,3.0,2.0,1.8,5.3999999999999995
182,13.0,15.384615384615389,7.692307692307694,-1.0776923076923077,1.0,1.0,5.0,11.769230769230772
183,14.0,57.14285714285714,7.142857142857142,-2.1657142857142855,3.0,2.0,1.6428571428571423,3.642857142857143
184,7.0,28.571428571428577,14.285714285714288,-1.8485714285714288,2.0,2.0,2.285714285714286,4.571428571428571
185,6.0,16.666666666666668,0.0,-1.1450000000000002,5.0,2.0,2.6666666666666665,5.333333333333334
186,7.0,28.571428571428566,14.285714285714283,-1.6157142857142852,4.0,2.0,2.285714285714285,3.9999999999999996
187,7.0,14.285714285714285,0.0,-1.0685714285714285,5.0,2.0,2.7142857142857144,3.1428571428571432
188,9.0,11.11111111111111,0.0,-1.2088888888888887,2.0,2.0,2.444444444444444,6.666666666666666
189,3.0,0.0,0.0,-0.6699999999999998,5.0,1.0,5.0,9.666666666666666
190,13.0,53.84615384615387,15.384615384615389,-2.0038461538461543,4.0,2.0,2.153846153846154,3.0769230769230775
191,11.0,27.272727272727277,0.0,-1.34,5.0,1.0,2.545454545454546,6.363636363636363
